categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
mammal,wn_hypernym,0.1369978664,-,True,-,hack,hack,4947,True,True,6,7,16,0.2,0.36702274841980215,homonyms_also_same_pos,met,conc,,,,lay_eggs,hack
mammal,wn_hypernym,0.3431317318,-,True,-,cat,cat,46606,True,True,3,3,10,0.08,0.33081598365574033,poly,met non-met,abs-conc,615,582,,lay_eggs,cat
mammal,wn_hypernym,0.1501948214,-,True,-,hackney,hackney,5259,True,True,1,0,2,0.2857142857142857,0.2857142857142857,poly,non-met,conc,,,,lay_eggs,hackney
mammal,wn_hypernym,0.2559641017,-,True,-,packhorse,packhorse,393,True,True,0,0,1,0.9411764705882353,0.9411764705882353,,,conc,,,,lay_eggs,packhorse
fish,wn_hypernym,0.1938537774,-,True,-,sleeper,sleeper,4730,True,True,5,0,9,0.07407407407407407,0.37959796475104357,poly,,abs-conc,,,,lay_eggs,sleeper
mammal,wn_hypernym,0.1816152396,-,True,-,wheeler,wheeler,14696,True,True,2,0,5,0.4,0.4759997274090228,,non-met,conc-n,,,,lay_eggs,wheeler
reptile,wn_hypernym,0.2853047575,-,True,-,racer,racer,12970,True,True,2,0,4,0.2,0.34199874199874203,mon,,conc,,,,lay_eggs,racer
bird,wn_hypernym,0.1871740459,-,True,-,scooter,scooter,3312,True,True,1,0,5,0.27586206896551724,0.5760605570230759,poly,,conc,565,468,,lay_eggs,scooter
bird,wn_hypernym,0.1342025179,-,True,-,ern,ern,1499,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,ern
bird,wn_hypernym,0.1428805591,-,True,-,mina,mina,4861,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,mina
bird,wn_hypernym,0.1307365228,-,True,-,pen,pen,27842,True,True,4,0,6,0.3333333333333333,0.5124242424242424,homonyms_also_same_pos,non-met,conc,571,554,,lay_eggs,pen
bird,wn_hypernym,0.1450894886,-,True,-,daw,daw,1623,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,daw
bird,wn_hypernym,0.146404645,-,True,-,reeve,reeve,4372,True,True,1,3,4,0.6666666666666666,0.6666666666666666,poly,,conc,,,,lay_eggs,reeve
bird,wn_hypernym,0.1415674368,-,True,-,poll,poll,38672,True,True,5,4,9,0.09090909090909091,0.22500137241985066,homonyms_only_different_pos,non-met,abs-conc,429,453,,lay_eggs,poll
bird,wn_hypernym,0.1549937929,-,True,-,stint,stint,22481,True,True,3,0,5,0.08,0.16405080213903744,homonyms_only_different_pos,non-met,abs-conc,,,,lay_eggs,stint
bird,wn_hypernym,0.1613058741,-,True,-,cardinal,cardinal,44384,True,True,3,0,6,0.08695652173913043,0.24967793880837355,homonyms_only_different_pos,non-met,abs-conc,600,451,,lay_eggs,cardinal
bird,wn_hypernym,0.1512472628,-,True,-,martin,martin,166132,True,True,1,1,5,0.4444444444444444,0.5198825715347455,mon,non-met,conc-n,,,,lay_eggs,martin
bird,wn_hypernym,0.1686093709,-,True,-,kaki,kaki,650,True,True,1,0,2,0.41379310344827586,0.41379310344827586,,,conc,,,,lay_eggs,kaki
bird,wn_hypernym,0.1447450553,-,True,-,ani,ani,3284,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,ani
bird,wn_hypernym,0.1823222464,-,True,-,homer,homer,19548,True,True,3,0,6,0.07692307692307693,0.2335778841041999,,,abs-conc-n,,,,lay_eggs,homer
bird,wn_hypernym,0.1623319227,-,True,-,gosling,gosl,1492,False,False,0,0,0,None,,,,-,,,,lay_eggs,gosl
