categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
neighbors-200,wikipedia_sgns_model,0.3792208022,-,True,-,footrests,footrest,118,True,True,0,0,1,1.0,1.0,,,conc,,,,square,footrest
neighbors-200,wikipedia_sgns_model,0.3514362453,-,True,-,luggage,luggage,5515,True,True,0,0,1,1.0,1.0,mon,non-met,conc,,,,square,luggage
round,conceptnet,0.2721544128,-,True,-,wheels,wheel,35256,True,True,3,4,11,0.10526315789473684,0.4312622680355737,homonyms_only_different_pos,met non-met,abs-conc,,,,square,wheel
neg,manually_included,0.229832204,-,True,-,pen,pen,27842,True,True,4,0,6,0.3333333333333333,0.5124242424242424,homonyms_also_same_pos,non-met,conc,571,554,,square,pen
neighbors-200,wikipedia_sgns_model,0.4200320784,-,True,-,laptops,laptop,3175,True,True,0,0,1,1.0,1.0,,,conc,,,,square,laptop
pos,manually_included,0.5459874816,-,True,-,laptop,laptop,6147,True,True,0,0,1,1.0,1.0,,,conc,,,,square,laptop
round square,conceptnet,0.4307878151,-,True,-,tables,table,27183,True,True,3,5,8,0.13333333333333333,0.26176111470229113,homonyms_only_different_pos,non-met,abs-conc,,,,square,table
pos,manually_included,0.4387249172,-,True,-,table,table,113840,True,True,3,5,8,0.13333333333333333,0.26176111470229113,homonyms_only_different_pos,non-met,abs-conc,604,599,,square,table
square,conceptnet,0.5531433892,-,True,-,dressers,dresser,458,True,True,3,0,5,0.4,0.5731406948744411,homonyms_also_same_pos,non-met,conc,,,,square,dresser
neighbors-200,wikipedia_sgns_model,0.4217447562,-,True,-,boxes,box,22229,True,True,7,14,13,0.09090909090909091,0.275260031577756,homonyms_also_same_pos,met non-met,abs-conc,,,,square,box
neighbors-200,wikipedia_sgns_model,0.428659075,-,True,-,desks,desk,2213,True,True,0,0,1,1.0,1.0,mon,non-met,conc,,,,square,desk
pos,manually_included,0.5741324699,,True,-,desk,desk,15367,True,True,0,0,1,1.0,1.0,mon,non-met,conc,583,583,,square,desk
round,conceptnet,0.2597695535,-,True,-,button,button,22677,True,True,3,0,9,0.09090909090909091,0.3734062513931638,homonyms_only_different_pos,non-met,abs-conc,613,573,192,square,button
neighbors-200,wikipedia_sgns_model,0.3479945527,-,True,-,windows,window,124918,True,True,4,6,8,0.125,0.4576007697275942,mon,non-met,abs-conc,,,,square,window
neighbors-200,wikipedia_sgns_model,0.355897675,-,True,-,cupboard,cupboard,1444,True,True,0,0,1,1.0,1.0,mon,met non-met,conc,,,,square,cupboard
neighbors-200,wikipedia_sgns_model,0.4187458281,-,True,-,cupboards,cupboard,498,True,True,0,0,1,1.0,1.0,mon,met non-met,conc,,,,square,cupboard
neighbors-200,wikipedia_sgns_model,0.3509472666,-,True,-,bookcases,bookcase,327,True,True,0,0,1,1.0,1.0,mon,,conc,,,,square,bookcase
neighbors-200,wikipedia_sgns_model,0.4026286853,-,True,-,bookcase,bookcase,424,True,True,0,0,1,1.0,1.0,mon,,conc,,,,square,bookcase
is_round,mcrae,0.1803972096,3,False,neg-is_round-all,banjo,banjo,7240,True,True,0,0,1,1.0,1.0,mon,,conc,,,,square,banjo
neighbors-200,wikipedia_sgns_model,0.3357830625,-,True,-,modillioned,modillion,219,True,True,0,0,1,1.0,1.0,,,conc,,,,square,modillion
neighbors-200,wikipedia_sgns_model,0.3580836619,-,True,-,doorknobs,doorknob,137,True,True,0,0,1,1.0,1.0,mon,,conc,,,,square,doorknob
neighbors-200,wikipedia_sgns_model,0.3685560907,-,True,-,trays,tray,1431,True,True,0,1,1,1.0,1.0,poly,non-met,conc,,,,square,tray
neighbors-200,wikipedia_sgns_model,0.3734784768,-,True,-,tray,tray,2969,True,True,0,1,1,1.0,1.0,poly,non-met,conc,590,558,,square,tray
is_round,mcrae,0.1902798363,-,True,neg-is_round-all,barrel,barrel,26331,True,True,2,8,6,0.10526315789473684,0.22013627583287027,poly,non-met,abs-conc,590,487,319,square,barrel
